Frecuencia (ciclos/mm),NNPS_Horizontal,NNPS_Vertical,NNPS_Radial
0.0,2.8548803111879297e-06,2.8548803111879297e-06,2.8548803111879297e-06
0.0390625,2.1162679531946997e-05,2.1265100925436004e-06,7.548733527471152e-06
0.078125,5.188036145227146e-05,5.463900562382004e-06,1.2254857572405763e-05
0.1171875,5.827556244305054e-05,1.1493366765809128e-05,1.2744425628628596e-05
0.15625,8.494310379289576e-05,6.9534018391573506e-06,1.589209896296975e-05
0.1953125,0.00011908624975691908,2.714158443247078e-06,1.1056124613491518e-05
0.234375,4.711565651895993e-05,3.330843504699424e-06,7.930297992842755e-06
0.2734375,1.7133973251096404e-05,5.660969837077283e-06,6.268516204374097e-06
0.3125,3.8984492884966515e-05,5.501803386666299e-06,6.116374731785201e-06
0.3515625,1.75258740748078e-05,3.1596487021556597e-06,5.0885883110473215e-06
0.390625,1.2856083053925391e-05,4.269746263830594e-06,5.163637722694011e-06
0.4296875,7.4819928567925425e-06,3.7960442702903324e-06,5.024368172577308e-06
0.46875,6.12118948013345e-06,3.832919783070757e-06,4.773092614553731e-06
0.5078125,4.462670971998058e-06,3.861395178088754e-06,4.068347319469389e-06
0.546875,5.322967794914004e-06,2.320313577564792e-06,4.7460248395427295e-06
0.5859375,8.520892682645295e-06,9.566382473149848e-06,5.072196034786925e-06
0.625,7.205874885345454e-06,3.1995011363754337e-06,5.160703811914912e-06
0.6640625,4.482007423554474e-06,2.442879633617992e-06,4.657532052478082e-06
0.703125,3.320193366988072e-06,4.706358283324922e-06,3.755771906841912e-06
0.7421875,9.24544992407844e-06,2.894879079913157e-06,3.920386116461111e-06
0.78125,4.228555781098278e-06,2.5338363444534048e-06,4.1628758864308005e-06
0.8203125,6.150417920343627e-06,2.4706999936829984e-06,4.0253864489904005e-06
0.859375,3.1407344747656138e-06,2.0815726015119032e-06,4.395238504865173e-06
0.8984375,2.8774981395318817e-06,2.8000527791359043e-06,4.041367587844911e-06
0.9375,6.03230090393002e-06,6.0616351354089405e-06,3.880582462113301e-06
0.9765625,3.8332386222978216e-06,4.8174460798845e-06,3.995179827293457e-06
1.015625,4.565212334057168e-06,3.104848628944406e-06,4.344034423566803e-06
1.0546875,2.7418574581074953e-06,3.891159220642321e-06,3.980682260886248e-06
1.09375,6.406356649160778e-06,1.430483525774802e-06,3.6106519283278883e-06
1.1328125,4.377170499060672e-06,1.2739498739265943e-06,3.6712016737602173e-06
1.171875,3.2160579836304586e-06,6.928850380940464e-06,4.12919790664227e-06
1.2109375,1.2660135405114758e-06,6.913034288090044e-06,4.344046853099472e-06
1.25,3.452449124308605e-06,2.9007665767596083e-06,3.8940245675133445e-06
1.2890625,5.775173010138734e-06,3.7449971982014633e-06,3.8860684120901016e-06
1.328125,5.559554758190831e-06,3.173068143183164e-06,3.6787556635930624e-06
1.3671875,6.955301935813577e-06,6.42821951139804e-06,4.08138533963454e-06
1.40625,3.1474308531138405e-06,4.061472199591115e-06,3.87045542411511e-06
1.4453125,2.8358956182962013e-06,6.43587406121726e-06,3.7714046232710407e-06
1.484375,2.542126097001497e-06,5.9246233491208215e-06,3.7119744343241477e-06
1.5234375,2.3431191365127353e-06,7.470139811261276e-06,3.8373029322151e-06
1.5625,2.1913992791456807e-06,2.1219766620747964e-06,3.7451204570362898e-06
1.6015625,5.204658248377076e-06,9.173564456525008e-06,3.864950451512839e-06
1.640625,3.0986764882233286e-06,5.9011450862651785e-06,3.622722178154803e-06
1.6796875,5.055222986023425e-06,3.397323579161687e-06,3.7928129329902677e-06
1.71875,9.162655673068197e-06,2.2524440722966877e-06,3.430554992261385e-06
1.7578125,5.7471011583596576e-06,4.259562317122935e-06,3.6409914138380104e-06
1.796875,1.0124462141606996e-05,2.289372276195738e-06,3.911356262679897e-06
1.8359375,2.6404108620977056e-06,2.4431705160419065e-06,3.6626086015819396e-06
1.875,2.215820117332655e-06,4.27443156316903e-06,3.5135980847517383e-06
1.9140625,3.337056408580432e-06,4.611605551850801e-06,3.5764339525805654e-06
1.953125,1.8852593254688591e-06,1.1525913657374372e-05,3.624416047716951e-06
1.9921875,3.4480341317325413e-06,4.281589299545459e-06,3.6352869606082733e-06
2.03125,3.938844400714379e-06,5.905136691926182e-06,3.6742272920121806e-06
2.0703125,5.368754846982581e-06,2.781507017364933e-06,3.3957357431720613e-06
2.109375,1.7121785625902893e-06,6.218615126535504e-06,3.4945011210919593e-06
2.1484375,8.281825778245802e-06,1.8857610683380911e-06,3.2675375632469805e-06
2.1875,4.323920950999829e-06,2.196627033042377e-06,3.4195962777701763e-06
2.2265625,1.6566102166943666e-06,6.345503141986596e-06,3.3004407976299255e-06
2.265625,4.7199962565329486e-06,3.3073698596929842e-06,3.3303891451138516e-06
2.3046875,6.80193236099846e-06,2.2616587929729985e-06,3.3528435782870533e-06
2.34375,5.019792552558073e-06,5.442804806374799e-06,3.3075415910499337e-06
2.3828125,3.4185191320153465e-06,4.9602742369706565e-06,3.367954823319466e-06
2.421875,4.182062407121398e-06,1.998543564185582e-06,3.497372368060569e-06
2.4609375,4.3976865745899195e-06,2.548552123124938e-06,3.333474860991143e-06
2.5,4.240555290785459e-06,3.0986206741154558e-06,3.210068799774888e-06
2.5390625,3.854021258511997e-06,4.502555733362346e-06,3.2142772126186227e-06
2.578125,3.7244904925785962e-06,9.755325452822028e-06,3.2959019603572687e-06
2.6171875,2.8417106279537192e-06,3.6896075526497226e-06,3.390171278490884e-06
2.65625,4.697872591268831e-06,1.981531935421542e-06,3.1116800194330107e-06
2.6953125,2.7415101534590167e-06,3.1939325844053384e-06,3.0171509361573753e-06
2.734375,2.3041997121607263e-06,3.6523992385553495e-06,3.0818142415644134e-06
2.7734375,4.02650127225188e-06,6.624453102799449e-06,2.9556658526198605e-06
2.8125,4.213477509594983e-06,4.969515293724855e-06,3.00616310323539e-06
2.8515625,6.427214885878287e-06,3.957263765833874e-06,2.977860386274188e-06
2.890625,3.561658191062607e-06,3.7693475990279974e-06,2.907630302499448e-06
2.9296875,3.939864175346376e-06,3.2936397983356045e-06,3.010882384765452e-06
2.96875,3.5427172147793423e-06,1.9838400446154287e-06,2.798963723199321e-06
3.0078125,9.903580413248416e-07,3.363185989940509e-06,2.8161039759675384e-06
3.046875,1.2089387077431605e-06,4.896146976576317e-06,2.92012916382076e-06
3.0859375,2.4265064257841296e-06,7.739737365538657e-06,2.972604908247422e-06
3.125,3.099608306049522e-06,8.158151710856194e-06,2.7527516070363623e-06
3.1640625,6.014247808661241e-06,5.682182876968125e-06,2.7541427898150423e-06
3.203125,7.637417550265114e-06,7.2127605189508605e-06,2.731660794580232e-06
3.2421875,1.5041378588099482e-06,7.828222382711455e-06,2.662901233395953e-06
3.28125,3.1788340017527226e-06,1.4860935649199286e-06,2.610777152678845e-06
3.3203125,3.000167547621037e-06,1.847348917801461e-06,2.6154438185515293e-06
3.359375,2.7616093452609707e-06,3.5348515628940836e-06,2.5837946917792627e-06
3.3984375,9.957961125274255e-07,3.1066027839554507e-06,2.5613944508404483e-06
3.4375,2.8923174854815904e-06,1.942786930192293e-06,2.433632827520414e-06
3.4765625,3.852427823701537e-06,2.3976702756975488e-06,2.524173620461099e-06
3.515625,4.213056788968225e-06,2.522743108052482e-06,2.564796470479038e-06
3.5546875,2.33495870184211e-06,2.4437152313745693e-06,2.505174623036059e-06
3.59375,9.23727308248422e-07,3.0387371446903144e-06,2.3849940375666887e-06
3.6328125,5.015071136515193e-06,5.112621327317938e-06,2.261490573485406e-06
3.671875,1.8431413795215322e-06,4.547396422639365e-06,2.3510588128231702e-06
3.7109375,1.6216870841304816e-06,3.978626312555115e-06,2.244124130964544e-06
3.75,2.5334407735436763e-06,2.424343753435778e-06,2.187434593757898e-06
3.7890625,2.0900234991953556e-06,4.12123588670914e-06,2.2659112562679783e-06
3.828125,2.394009164764764e-06,2.3406671855656196e-06,2.2165279906935103e-06
3.8671875,1.8123996424463709e-06,2.6393775927628647e-06,2.1027633150508317e-06
3.90625,1.8111448266456823e-06,1.7263177729378107e-06,2.093723887288101e-06
3.9453125,3.7426586468344315e-06,1.826572257556926e-06,2.12402033786738e-06
3.984375,3.3047953529354723e-06,3.074211399388945e-06,2.084871162473302e-06
4.0234375,3.830387316022662e-06,2.0418099230054174e-06,1.9690576703393065e-06
4.0625,2.8080925501291934e-06,7.82787473595799e-06,2.0249690987432418e-06
4.1015625,1.9074945429104167e-06,8.877460654690832e-06,2.031346513539582e-06
4.140625,1.2969103343157267e-06,4.871545149825591e-06,1.974878595730345e-06
4.1796875,5.011973144604666e-06,9.411626172057041e-06,1.9808829703361054e-06
4.21875,4.888027114477193e-06,3.305474528758261e-06,1.925765040694846e-06
4.2578125,1.5120113190509755e-06,1.0747055480093481e-05,1.9431757240001265e-06
4.296875,2.6960681350223596e-06,1.8566965400055387e-05,1.9333162594846206e-06
4.3359375,1.3974232701098573e-06,5.5956371498666835e-06,1.8721039502359776e-06
4.375,6.53146424107271e-07,2.8738104489561135e-06,1.8071485835375654e-06
4.4140625,6.704066862256406e-07,3.8762354099741974e-06,1.7222751645000183e-06
4.453125,2.5499254352538363e-06,1.5616574862572337e-06,1.6963399595032148e-06
4.4921875,2.094477885124427e-06,3.1732186619576662e-06,1.7777813754810536e-06
4.53125,2.7591878566011628e-06,2.89654501043064e-06,1.72212397290186e-06
4.5703125,2.4677800046214183e-06,3.571981669721008e-06,1.6961432690636982e-06
4.609375,3.051841460266507e-06,1.9471520611769327e-06,1.6317883789974052e-06
4.6484375,1.977371763456969e-06,3.4497559167466648e-06,1.6287939489806886e-06
4.6875,3.4135664717488574e-06,2.30486529011972e-06,1.6507475974806655e-06
4.7265625,1.2685498397041966e-06,3.2064854915124165e-06,1.5643922326798517e-06
4.765625,1.952968179371446e-06,4.039939423633752e-06,1.5358710081300152e-06
4.8046875,2.857525992516838e-06,6.288914238826678e-06,1.5881536537619858e-06
